# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B355151876601063C0,     722.11,     583.75,   15.70,    4.41,  25.04,   -15.06
bld_B355151905701063C0,     726.83,     875.10,   16.14,    4.63,  33.14,     8.72
bld_B355161870301063C0,     723.35,     520.80,   15.25,    5.66,  27.52,   -15.00
bld_B355161905301063C0,     727.51,     870.63,   16.15,    4.50,  32.62,     8.77
bld_B355161913001063C0,     732.10,     947.90,   15.03,    4.83,  24.47,     9.13
bld_B355171871001063C0,     723.65,     528.52,   10.39,    9.91,  50.94,    75.54
bld_B355171871102063C0,     725.39,     528.52,   13.31,   11.29,  22.18,   -14.58
bld_B355171877001063C0,     723.22,     587.99,   15.74,    4.38,  25.04,   -15.03
bld_B355171877401063C0,     724.26,     592.32,   15.54,    4.93,  27.34,   -15.05
bld_B355171877901063C0,     725.55,     597.05,   15.32,    4.90,  26.06,   -15.06
bld_B355171904401063C0,     729.72,     861.36,   17.75,    5.45,  31.84,     8.84
bld_B355171904801063C0,     728.19,     866.17,   16.16,    4.54,  31.18,     8.75
bld_B355171911601063C0,     734.30,     933.63,   15.27,    5.78,  28.36,     8.77
bld_B355171912001063C0,     733.42,     939.16,   15.25,    5.42,  28.36,     8.74
bld_B355181903101063C0,     732.61,     844.48,   29.15,   19.65,  31.82,   -81.36
bld_B355181912501063C0,     732.89,     942.98,   15.07,    5.27,  25.75,     8.64
bld_B355191878401063C0,     727.09,     602.97,   15.43,    7.33,  26.06,   -15.06
bld_B355201872801063C0,     729.80,     543.83,   13.97,    6.20,  27.78,   -15.36
bld_B355211873201063C0,     731.18,     548.76,   13.90,    4.21,  25.99,   -15.35
bld_B355211910101063C0,     736.62,     917.80,   20.93,   10.86,  82.43,   -81.09
bld_B355221873601063C0,     732.21,     552.82,   13.99,    4.18,  25.99,   -15.33
bld_B355221910102063C0,     736.81,     916.62,   29.10,   14.36,  15.87,   -81.26
bld_B355231860501063C0,     727.40,     421.62,   15.86,    5.57,  36.29,   -14.71
bld_B355231874101063C0,     733.20,     557.31,   14.17,    5.26,  26.64,   -15.36
bld_B355231880601063C0,     732.50,     623.18,   25.35,   16.21,  34.98,    75.59
bld_B355241874501063C0,     734.39,     561.84,   14.14,    4.28,  26.64,   -14.46
bld_B355251859901063C0,     726.30,     417.45,   15.86,    4.34,  36.30,   -14.80
